Date,HOUGR
2006-01-01,112.0
2006-04-01,113.0
2006-07-01,115.6
2006-10-01,118.7
2007-01-01,118.6
2007-04-01,117.6
2007-07-01,119.5
2007-10-01,117.3
2008-01-01,117.0
2008-04-01,114.3
2008-07-01,115.9
2008-10-01,114.7
2009-01-01,111.4
2009-04-01,110.7
2009-07-01,109.2
2009-10-01,108.0
2010-01-01,106.2
2010-04-01,100.3
2010-07-01,98.14
2010-10-01,95.57
2011-01-01,95.98
2011-04-01,91.97
2011-07-01,91.32
2011-10-01,86.82
2012-01-01,84.15
2012-04-01,80.77
2012-07-01,78.77
2012-10-01,74.88
2013-01-01,74.47
2013-04-01,71.44
2013-07-01,71.49
2013-10-01,69.18
2014-01-01,68.6
2014-04-01,66.56
2014-07-01,66.98
2014-10-01,66.57
2015-01-01,67.38
2015-04-01,64.63
2015-07-01,64.26
2015-10-01,63.55
2016-01-01,65.05
2016-04-01,63.6
2016-07-01,63.76
2016-10-01,63.18
2017-01-01,62.94
2017-04-01,62.13
2017-07-01,62.73
2017-10-01,62.39
2018-01-01,63.32
2018-04-01,62.58
2018-07-01,63.54
2018-10-01,63.69
2019-01-01,66.35
2019-04-01,67.12
2019-07-01,68.85
2019-10-01,68.38
2020-01-01,70.56
2020-04-01,70.97
2020-07-01,72.79
2020-10-01,71.55
2021-01-01,74.05
