Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2020,2020,Import,Greece,Afghanistan,All Commodities,TOTAL,8821
2020,2020,Export,Greece,Afghanistan,All Commodities,TOTAL,159030
2020,2020,Import,Greece,Albania,All Commodities,TOTAL,146485136
2020,2020,Export,Greece,Albania,All Commodities,TOTAL,582315856
2020,2020,Import,Greece,Algeria,All Commodities,TOTAL,700973283
2020,2020,Export,Greece,Algeria,All Commodities,TOTAL,145498669
2020,2020,Import,Greece,Andorra,All Commodities,TOTAL,511852
2020,2020,Export,Greece,Andorra,All Commodities,TOTAL,186870
2020,2020,Import,Greece,Angola,All Commodities,TOTAL,199984
2020,2020,Export,Greece,Angola,All Commodities,TOTAL,1465894
2020,2020,Import,Greece,Antigua and Barbuda,All Commodities,TOTAL,5196
2020,2020,Export,Greece,Antigua and Barbuda,All Commodities,TOTAL,7510934
2020,2020,Import,Greece,Azerbaijan,All Commodities,TOTAL,447522232
2020,2020,Export,Greece,Azerbaijan,All Commodities,TOTAL,5681622
2020,2020,Import,Greece,Argentina,All Commodities,TOTAL,201113810
2020,2020,Export,Greece,Argentina,All Commodities,TOTAL,8026179
2020,2020,Import,Greece,Australia,All Commodities,TOTAL,36182972
2020,2020,Export,Greece,Australia,All Commodities,TOTAL,229635152
2020,2020,Import,Greece,Austria,All Commodities,TOTAL,626730897
2020,2020,Export,Greece,Austria,All Commodities,TOTAL,394968580
2020,2020,Import,Greece,Bahamas,All Commodities,TOTAL,362054
2020,2020,Export,Greece,Bahamas,All Commodities,TOTAL,23790470
2020,2020,Import,Greece,Bahrain,All Commodities,TOTAL,3027846
2020,2020,Export,Greece,Bahrain,All Commodities,TOTAL,12682935
2020,2020,Import,Greece,Bangladesh,All Commodities,TOTAL,49763493
2020,2020,Export,Greece,Bangladesh,All Commodities,TOTAL,50311652
2020,2020,Import,Greece,Armenia,All Commodities,TOTAL,76125
2020,2020,Export,Greece,Armenia,All Commodities,TOTAL,11543181
2020,2020,Import,Greece,Barbados,All Commodities,TOTAL,44078
2020,2020,Export,Greece,Barbados,All Commodities,TOTAL,1948906
2020,2020,Import,Greece,Belgium,All Commodities,TOTAL,1814147104
2020,2020,Export,Greece,Belgium,All Commodities,TOTAL,439829599
2020,2020,Import,Greece,Bermuda,All Commodities,TOTAL,29132
2020,2020,Export,Greece,Bermuda,All Commodities,TOTAL,1873102
2020,2020,Import,Greece,Bhutan,All Commodities,TOTAL,810
2020,2020,Export,Greece,Bhutan,All Commodities,TOTAL,12613
2020,2020,Import,Greece,Bolivia (Plurinational State of),All Commodities,TOTAL,1946300
2020,2020,Export,Greece,Bolivia (Plurinational State of),All Commodities,TOTAL,776111
2020,2020,Import,Greece,Bosnia Herzegovina,All Commodities,TOTAL,15738157
2020,2020,Export,Greece,Bosnia Herzegovina,All Commodities,TOTAL,41620241
2020,2020,Import,Greece,Botswana,All Commodities,TOTAL,820648
2020,2020,Export,Greece,Botswana,All Commodities,TOTAL,250841
2020,2020,Export,Greece,Bouvet Island,All Commodities,TOTAL,2445
2020,2020,Import,Greece,Brazil,All Commodities,TOTAL,199428738
2020,2020,Export,Greece,Brazil,All Commodities,TOTAL,39692961
2020,2020,Import,Greece,Belize,All Commodities,TOTAL,778785
2020,2020,Export,Greece,Belize,All Commodities,TOTAL,3764587
2020,2020,Export,Greece,Br. Indian Ocean Terr.,All Commodities,TOTAL,391
2020,2020,Import,Greece,Solomon Isds,All Commodities,TOTAL,119825
2020,2020,Export,Greece,Solomon Isds,All Commodities,TOTAL,102813
2020,2020,Import,Greece,Br. Virgin Isds,All Commodities,TOTAL,3998148
2020,2020,Export,Greece,Br. Virgin Isds,All Commodities,TOTAL,5622240
2020,2020,Import,Greece,Brunei Darussalam,All Commodities,TOTAL,194
2020,2020,Export,Greece,Brunei Darussalam,All Commodities,TOTAL,659341
2020,2020,Import,Greece,Bulgaria,All Commodities,TOTAL,1791205286
2020,2020,Export,Greece,Bulgaria,All Commodities,TOTAL,1682450068
2020,2020,Import,Greece,Myanmar,All Commodities,TOTAL,11799725
2020,2020,Export,Greece,Myanmar,All Commodities,TOTAL,312569
2020,2020,Import,Greece,Burundi,All Commodities,TOTAL,63270
2020,2020,Export,Greece,Burundi,All Commodities,TOTAL,223267
2020,2020,Import,Greece,Belarus,All Commodities,TOTAL,1990464
2020,2020,Export,Greece,Belarus,All Commodities,TOTAL,16853606
2020,2020,Import,Greece,Cambodia,All Commodities,TOTAL,11161017
2020,2020,Export,Greece,Cambodia,All Commodities,TOTAL,2200408
2020,2020,Import,Greece,Cameroon,All Commodities,TOTAL,3291728
2020,2020,Export,Greece,Cameroon,All Commodities,TOTAL,14251620
2020,2020,Import,Greece,Canada,All Commodities,TOTAL,65845352
